Apartment Names,Coordinates
Academy Lane,"(38.5551655, -121.7424769)"
Aggie Square Apartments,"(38.5614166, -121.7565796)"
Arlington Farm,"(38.5487826, -121.7859662)"
Boardwalk Town Homes,"(38.5520888, -121.740706)"
Casitas,"(38.5622954, -121.75823)"
Chautauqua Apartments,"(38.5626823, -121.759485)"
College Town Commons,"(38.5483357, -121.6988172)"
Cottages on 5th,"(38.549528, -121.7260479)"
Eastlake Apartments,"(38.5558814, -121.7869249)"
Ellington Apartments,"(38.550199, -121.691215)"
Fountain Circle Townhomes,"(38.5622373, -121.7631622)"
Greystone,"(38.5530083, -121.7205796)"
Lexington Apartments,"(38.5420784, -121.7352964)"
MarCo at the Cannery Apartments,"(38.56177820000001, -121.7419154)"
Meadow Ridge,"(38.5489369, -121.6970935)"
Piñon,"(38.5471408, -121.7666113)"
Primero Grove,"(38.5453778, -121.7558956)"
Renaissance Park Apartments,"(38.5425458, -121.7147354)"
Seville at Mace Ranch,"(38.5596869, -121.6966869)"
Sterling 5th Street,"(38.5488044, -121.7240223)"
Sundance Apartments,"(38.5473607, -121.7699505)"
Suntree Apartments,"(38.561521, -121.746218)"
Sycamore Lane Apartments,"(38.5481719, -121.7603836)"
The Alhambra at Mace Ranch,"(38.5571759, -121.6970295)"
The Arbors,"(38.5436955, -121.7338593)"
The Grove at Davis,"(38.55369650000001, -121.7858459)"
The Spoke,"(38.5536155, -121.7400588)"
The Willows,"(38.5603795, -121.7875684)"
Westwood,"(38.5508073, -121.7689185)"
