"name","address","lat","lng","place_id","rating","user_ratings_total","types","apartments_url"
"8th & Wake","1440 Wake Forest Dr, Davis, CA 95616, United States","38.5485153","-121.7668292","ChIJm9ECk1IohYARInDvm706284","4.1","38.0","['point_of_interest', 'establishment']",""
"Academy Lane","1124 F St, Davis, CA 95616, United States","38.5551655","-121.7424769","ChIJ8cA3dKIphYAREie0GPKQfY4","3.0","43.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/academy-lane-apartment-homes-davis-ca/qf1j36y/"
"Adobe At Evergreen Apartments","1500 Shasta Dr, Davis, CA 95616, United States","38.5600685","-121.7712091","ChIJJZ9VaDYohYARyucU7yZq_tE","4.1","26.0","['point_of_interest', 'establishment']","https://www.apartments.com/adobe-at-evergreen-davis-ca/r72fqy3/"
"Aero Apartments","1805 Anderson Rd, Davis, CA 95616, United States","38.5595518","-121.7594906","ChIJidXngbYphYARi8JqrRY1Rv8","4.5","4.0","['point_of_interest', 'establishment']","https://www.apartments.com/aero-apartments-davis-ca/xkmhxnq/"
"Aggie Square Apartments","644 Alvarado Ave, Davis, CA 95616, United States","38.5614166","-121.7565796","ChIJmVyds7cphYAROS8Y7UPbX_w","4.9","31.0","['point_of_interest', 'establishment']","https://www.apartments.com/aggie-square-apartments-davis-ca/4p5s74k/"
"Almondwood Apartments","1212 Alvarado Ave, Davis, CA 95616, United States","38.5616868","-121.7629517","ChIJZ7Ynh8ophYARuLLFYMVw1SM","3.9","23.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/almondwood-apartments-davis-ca/93zd3d4/"
"Alvarado Parkside Apartments","520 Alvarado Ave, Davis, CA 95616, United States","38.5613515","-121.7518203","ChIJBy7qubkphYARIXNuAHFhLMQ","3.8","18.0","['point_of_interest', 'establishment']","https://www.apartments.com/alvarado-parkside-apartments-davis-ca/gnd8v4w/"
"Anderson Place Apartments","1850 Hanover Dr, Davis, CA 95616, United States","38.559085","-121.7551814","ChIJG4xaErcphYARIkeEArPa0bY","4.1","39.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/anderson-place-apartments-davis-ca/rhw7yl3/"
"Arlington Farm","2901 Portage Bay W, Davis, CA 95616, United States","38.5487826","-121.7859662","ChIJJUBZI0IohYARcV6dIR8Xe1U","4.0","21.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/arlington-farm-apartments-davis-ca/v6hggcd/"
"Avalon Apartments","1617 Valdora St, Davis, CA 95618, United States","38.538311","-121.724678","ChIJM2kdNmEphYAR68NUO5j-vkk","3.8","18.0","['point_of_interest', 'establishment']","https://www.apartments.com/avalon-davis-ca/pt78hfv/"
"Axis at Davis","2555 Research Park Dr, Davis, CA 95618, United States","38.5455559","-121.7233897","ChIJJV9eSnQphYARUikHeRQTfyk","4.7","36.0","['point_of_interest', 'establishment']","https://www.apartments.com/axis-at-davis-davis-ca/xdkeq1m/"
"Boardwalk Town Homes","805 H St, Davis, CA 95616, United States","38.5520888","-121.740706","ChIJ3dWLFJ8phYARYHTfGNvtPw8","4.7","38.0","['point_of_interest', 'establishment']",""
"Cambridge House","619 Pole Line Rd, Davis, CA 95618, United States","38.5507285","-121.7275047","ChIJEx0H5HgphYARy_0pNYsm21s","3.5","53.0","['point_of_interest', 'establishment']",""
"Cascade Apartments","771 Pole Line Rd, Davis, CA 95618, United States","38.5528545","-121.7275174","ChIJzch2lHgphYARdX1Ydrncyuw","4.6","5.0","['point_of_interest', 'establishment']","https://www.apartments.com/cascade-davis-llc-davis-ca/jpbn1m6/"
"Casitas","717 Alvarado Ave, Davis, CA 95616, United States","38.5622954","-121.75823","ChIJkX8cEcophYARn7C4DKmhyzg","4.1","10.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/casitas-apartments-davis-ca/htcv193/"
"Celeste Apartments","3820 Chiles Rd, Davis, CA 95618, United States","38.5501735","-121.7034589","ChIJlXmXLeIrhYARbzx_kLtHink","3.4","97.0","['real_estate_agency', 'finance', 'point_of_interest', 'establishment']","https://www.apartments.com/the-celeste-davis-ca/w9b62lj/"
"Chaparral Apartments","2689 Sycamore Ln, Davis, CA 95616, United States","38.5657235","-121.7660839","ChIJK9jJFzMohYAR1Nzt-XoRrBY","4.4","14.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/chaparral-apartments-davis-ca/q881sxy/"
"Chautauqua Apartments","717 Alvarado Ave, Davis, CA 95616, United States","38.5626823","-121.759485","ChIJkX8cEcophYARcp8qx9hopGM","4.8","4.0","['point_of_interest', 'establishment']",""
"Clearwater Apartments","4141 Cowell Blvd, Davis, CA 95618, United States","38.5482934","-121.6997533","ChIJc-688cYrhYAREaR2-KsYlxg","4.2","24.0","['point_of_interest', 'establishment']","https://www.apartments.com/clearwater-apartments-davis-ca/88n7rh1/"
"College Town Commons","382 Boston Terrace, Davis, CA 95618, United States","38.5483357","-121.6988172","ChIJ9U85PccrhYARzaKcfJ47JZA","4.3","8.0","['real_estate_agency', 'point_of_interest', 'establishment']",""
"Cottages on 5th","500 Pole Line Rd, Davis, CA 95618, United States","38.549528","-121.7260479","ChIJu95lSl4phYARLiKU8T-0u5k","4.0","22.0","['point_of_interest', 'establishment']",""
"Cranbrook Apartments","955 Cranbrook Ct, Davis, CA 95616, United States","38.5600627","-121.7414117","ChIJOTKOzpcphYARNM7Qr4n25mA","4.1","49.0","['point_of_interest', 'establishment']","https://www.apartments.com/cranbrook-apartments-davis-ca/mq4vc1k/"
"Creekside","2990 5th St, Davis, CA 95618, United States","38.5533823","-121.7118315","ChIJiXocb0ArhYARBge_UuDS4qA","2.9","18.0","['point_of_interest', 'establishment']",""
"DaVinci","1666 Da Vinci Ct, Davis, CA 95618, United States","38.5366114","-121.7317467","ChIJGZAau2gphYARkH52E12WjYM","3.5","35.0","['point_of_interest', 'establishment']","https://www.apartments.com/davinci-apartments-davis-ca/ypqh12t/"
"Davisville Apartments","1221 Kennedy Pl #42, Davis, CA 95616, United States","38.559639","-121.7364549","ChIJcxSkrJAphYARuUkwZDs_a48","5.0","2.0","['point_of_interest', 'establishment']",""
"Davisville Management Company","2525 2nd St, Davis, CA 95618, United States","38.548475","-121.7214575","ChIJ3aiNr30phYARup-W1ucKKg4","5.0","6.0","['real_estate_agency', 'point_of_interest', 'establishment']",""
"Drake Apartments","919 Drake Dr, Davis, CA 95616, United States","38.5603955","-121.7609734","ChIJA27O17UphYAR2DQ6ud_s-fY","4.5","6.0","['point_of_interest', 'establishment']","https://www.apartments.com/the-drake-and-anderson-court-davis-ca/8j8wf23/"
"Eastlake Apartments","1420 Lake Blvd, Davis, CA 95616, United States","38.5558814","-121.7869249","ChIJbyEL2j8ohYARwjk2NQJMucA","4.5","15.0","['point_of_interest', 'establishment']","https://www.apartments.com/3-months-free-at-eastlake-apartments-davis-ca/9s4t8t7/"
