name,address,lat,lng,place_id,rating,user_ratings_total,types
7-Eleven,"525 L St, Davis, CA 95616, United States",38.5491994,-121.7350324,ChIJu9VCQHYphYARSkMzux9VFzg,3.9,49.0,"['convenience_store', 'liquor_store', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Anderson Plaza,"606 W Covell Blvd, Davis, CA 95616, United States",38.5601264,-121.7572922,ChIJ_0_e-7YphYAR42pc9yBq55A,4.2,222.0,"['shopping_mall', 'point_of_interest', 'establishment']"
Armadillo Music,"207 F St, Davis, CA 95616, United States",38.5438178,-121.7402926,ChIJIWDUZHMphYARgeZZI4b0zbQ,4.7,219.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Beach Hut Deli,"4515 Fermi Pl, Davis, CA 95618, United States",38.5532823,-121.6976553,ChIJSz5qF8grhYAR3ZOc6XwAeO8,4.3,345.0,"['food', 'point_of_interest', 'store', 'establishment']"
Bros Liquor,"1046 Olive Dr, Davis, CA 95616, United States",38.5415229,-121.7371368,ChIJg7_hrvophYAR5YY1gS0M8Q8,4.8,82.0,"['liquor_store', 'point_of_interest', 'store', 'establishment']"
Bros Liquor #1,"1964 E 8th St, Davis, CA 95616, United States",38.5530953,-121.7276894,ChIJAS2Ue4IphYAREL6ngLeYkkA,3.9,74.0,"['liquor_store', 'point_of_interest', 'store', 'establishment']"
CVS,"1471 W Covell Blvd, Davis, CA 95616, United States",38.5616008,-121.7665036,ChIJh2fWTTUohYARrOk2wUetV64,2.7,98.0,"['drugstore', 'convenience_store', 'liquor_store', 'clothing_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
CVS,"1550 E Covell Blvd CVS, Davis, CA 95616, United States",38.5609727,-121.7319248,ChIJ3TphDpAphYARdtBcsB0i-T0,3.6,57.0,"['drugstore', 'convenience_store', 'liquor_store', 'clothing_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
Candy House of Davis,"901 3rd St, Davis, CA 95616, United States",38.5452577,-121.7379232,ChIJY3TvC3QphYAR1LheeqSI0J4,4.8,106.0,"['food', 'point_of_interest', 'store', 'establishment']"
Community Mercantile,"622 Cantrill Dr, Davis, CA 95618, United States",38.5492737,-121.7196752,ChIJ13FutUIphYARA5ondUk6WhM,4.3,35.0,"['food', 'point_of_interest', 'store', 'establishment']"
Cookery & Company,"815 3rd St, Davis, CA 95616, United States",38.5455412,-121.7388009,ChIJI4ZhiXMphYARGzAq0oRiLXQ,4.3,99.0,"['hardware_store', 'furniture_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']"
Cuarto Market,"University of California, Davis, 550 Oxford Cir #1st, Davis, CA 95616, United States",38.5474026,-121.7631359,ChIJsWT0mqwphYARQUAXGpayt28,4.0,1.0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
Davis Beer Shoppe,"211 G St, Davis, CA 95616, United States",38.5439977,-121.7391757,ChIJHXvyhHMphYARDN5pxr3BbNQ,4.5,300.0,"['liquor_store', 'store', 'point_of_interest', 'establishment']"
Davis Farmers Market,"301 C St, Davis, CA 95616, United States",38.544697,-121.744042,ChIJyX2kQQsphYARqpBUSUfj60Y,4.7,993.0,"['point_of_interest', 'establishment']"
Davis Food Co-op,"620 G St, Davis, CA 95616, United States",38.5493207,-121.740026,ChIJIxr01p8phYAR8FDlyrQ3DQE,4.6,1056.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
El Macero Center,"417 Mace Blvd, Davis, CA 95618, United States",38.5498632,-121.6952888,ChIJvTvR7LgrhYARCcVnVYfZ0Ds,4.4,204.0,"['shopping_mall', 'point_of_interest', 'establishment']"
Estelle Bakery & Patisserie,"2710 5th St, Davis, CA 95618, United States",38.5517926,-121.7183729,ChIJCfjxRgArhYARRoqBWqeAaH0,4.2,84.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']"
Fast & Easy Mart,"140 B St, Davis, CA 95616, United States",38.5426203,-121.7439707,ChIJ6_TBmQwphYARFqWiXnJb12A,2.5,29.0,"['convenience_store', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Fast & Easy Mart,"1601 Research Park Dr, Davis, CA 95618, United States",38.540277,-121.7320117,ChIJXfMumm8phYAR1jUD2Y9cSLI,4.8,4.0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
Grocery Outlet,"1800 E 8th St Suite B, Davis, CA 95616, United States",38.5526227,-121.7297644,ChIJvzf9uoIphYARCYMgDCAXErg,4.4,706.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Havana Mini Mart,"233 F St, Davis, CA 95616, United States",38.5443533,-121.7403969,ChIJI7c2fbcphYARjqvVeO79WFs,3.1,23.0,"['convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Ho Ho Market,"132 E St #140, Davis, CA 95616, United States",38.5427695,-121.7407066,ChIJTUf3FHMphYARP2HYBYY3FeQ,4.3,84.0,"['liquor_store', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Honey D Cafe,"213 E St, Davis, CA 95616, United States",38.5436597,-121.7413443,ChIJ33vr5vIphYARBHiTFXmiFNo,4.2,105.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Ike's Love & Sandwiches,"212 F St St B, Davis, CA 95616, United States",38.5439281,-121.7397831,ChIJs6FoeXMphYAR-0E-8GOg24Y,4.5,408.0,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Ikeda's Markets,"26295 Mace Blvd, Davis, CA 95618, United States",38.5561665,-121.6936949,ChIJ94Eie5MrhYARf0Vg8eJojtQ,4.5,458.0,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
International Food Market,"1760 E 8th St, Davis, CA 95616, United States",38.5526837,-121.7306398,ChIJsS-myIIphYARZi4BMXFCHXI,4.4,111.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Kims Mart,"628 4th St, Davis, CA 95616, United States",38.5458289,-121.7411941,ChIJUbJK3HQphYARDf94OgCKGJE,4.6,464.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Kobe Mini Mart,"213 E St suite a, Davis, CA 95616, United States",38.5437182,-121.7413633,ChIJvebnWHMphYARVtVOXfCnNco,4.7,191.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
