Stop ID (3 Digit),Stop ID (Full),Stop Location,Latitude,Longitude,Known Accessibility Issue?
124,22124,14th St & B St (EB),38.555899,-121.747879,None
123,22123,14th St & B St (WB),38.556086,-121.748155,None
125,22125,14th St & Davis HS (WB),38.555965,-121.750585,None
114,22114,14th St & F St (WB),38.556939,-121.743812,None
146,22146,14th St & Oak St (EB),38.555718,-121.751814,None
147,22147,14th St & Oak St (WB),38.555945,-121.752524,None
002,22002,1st St & C St (EB),38.541523,-121.742543,None
003,22003,1st St & D St (WB),38.541818,-121.742051,None
305,22305,2080 Tilia St-Sol at West Village (EB),38.541995,-121.77525,None
005,22005,2nd St & B St (EB),38.542661,-121.743914,Accessing bus stop may be difficult due to parked cars.
007,22007,2nd St & E St (EB),38.543139,-121.741185,None
009,22009,2nd St & E St (WB),38.54333,-121.74093,None
282,22282,2nd St. & Target Drive (WB),38.553718,-121.69776,None
326,22326,2nd Street & Cousteau Place (WB),38.550112,-121.71092,None
015,22015,3rd St & C St (WB),38.544213,-121.743911,None
017,22017,3rd St & E St (WB),38.54455,-121.741693,None
031,22031,3rd St & K St (EB),38.545644,-121.734501,None
030,22030,3rd St & K St (WB),38.545749,-121.735093,Accessing bus stop may be difficult due to parked cars.
073,22073,5th St & Cantrill (EB),38.551779,-121.719045,None
072,22072,5th St & Cantrill (WB),38.551533,-121.721356,None
025,22025,5th St & D St (EB),38.546886,-121.742982,None
026,22026,5th St & D St (WB),38.546951,-121.743576,None
078,22078,5th St & Davis PW Corp Yard (WB),38.548896,-121.730801,None
028,22028,5th St & G St (EB),38.547395,-121.739607,None
029,22029,5th St & I St (WB),38.547933,-121.737895,None
069,22069,5th St & Pelz Bike Path (WB),38.554832,-121.709321,None
234,22234,5th St & Pena Dr (EB),38.552682,-121.715379,None
076,22076,5th St & Pole Line Rd (EB),38.548562,-121.727627,None
077,22077,5th St & Pole Line Rd (WB),38.548835,-121.727775,None
075,22075,5th St & Post Office / Pole Line (EB),38.548741,-121.725653,None
074,22074,5th St & Post Office / Pole Line Rd (WB),38.54904,-121.725533,None
071,22071,5th St & San Rafael St (WB),38.552633,-121.716511,None
238,22238,5th St & Spafford (WB),38.553332,-121.71357,None
237,22237,5th St & Spafford St (EB),38.553424,-121.712444,None
068,22068,5th St & Verona Terrace (SB),38.556893,-121.705357,None
070,22070,5th St & Windmere Apts. (EB),38.554599,-121.709777,None
319,22319,5th Street & K Street (EB),38.548176,-121.735642,None
317,22317,5th Street & L Street (WB),38.548392,-121.735275,None
300,22300,5th Street & Verona Terrace (EB),38.556453,-121.705363,None
102,22102,8th St & Chestnut Ln (EB),38.553291,-121.730341,None
103,22103,8th St & Chestnut Ln (WB),38.553514,-121.73131,None
