apartment_id,case_number,distance_miles
0,C25-1588,1.797399558251674
0,C25-1589,1.5934288236112193
0,C25-1590,1.1325173955623713
0,C25-1591,1.2651082212112916
0,C25-1592,1.8841860965898247
0,C25-1593,1.8886408237445316
0,C25-1580,1.4779515163441972
0,C25-1581,2.852248752619289
0,C25-1582,1.2013374134550734
0,C25-1583,1.7909954577852902
0,C25-1584,0.9535664194660349
0,C25-1585,2.2352671042571224
0,C25-1586,1.7041045961692276
0,C25-1587,1.7557081290887258
0,C25-1578,1.670819839127401
0,C25-1579,1.2554706882948954
0,C25-1577,2.1669466396130423
0,C25-1575,1.2554706882948954
0,C25-1576,1.5957825444870266
0,C25-1573,1.3806607764019638
0,C25-1574,1.7452734845458708
0,C25-1571,1.0149679676363002
0,C25-1572,1.8493579932119624
0,C25-1568,1.9698917104004565
0,C25-1569,1.8886408237445316
0,C25-1570,1.0052861745588784
0,C25-1560,2.5510234735732724
0,C25-1561,1.8592868738035129
0,C25-1562,1.882858087129671
0,C25-1563,1.0368179526674783
0,C25-1565,1.3609296841130094
0,C25-1567,1.8196489462857783
0,C25-1556,1.3950828601563652
0,C25-1557,1.2651082212112916
0,C25-1558,1.2651082212112916
0,C25-1553,0.7227641048971924
0,C25-1554,1.6758286369182294
0,C25-1555,0.12856869123018064
0,C25-1550,1.8672290107234684
0,C25-1551,1.2554706882948954
0,C25-1552,0.9535664194660349
0,C25-1543,0.9535664194660349
0,C25-1544,1.376783251926544
0,C25-1545,1.4424591748146682
0,C25-1546,1.7260629680498742
0,C25-1547,1.2163031958162736
0,C25-1548,1.8592868738035129
0,C25-1549,1.8886408237445316
0,C25-1539,1.5382004471175281
0,C25-1540,1.5313259168178852
0,C25-1541,1.909033537739836
0,C25-1542,1.242153437084899
0,C25-1537,1.417022078935616
0,C25-1538,1.7041045961692276
0,C25-1526,1.7041045961692276
0,C25-1527,1.6794346585515014
0,C25-1528,1.3675166126890255
0,C25-1529,0.9535664194660349
0,C25-1530,1.909033537739836
0,C25-1531,1.3206679739559155
0,C25-1532,1.6956795807100813
0,C25-1533,1.5289935741772545
0,C25-1534,1.9432224320771339
0,C25-1535,1.5313259168178852
0,C25-1536,1.948308854671014
0,C25-1521,2.55660759245631
0,C25-1522,1.0368179526674783
0,C25-1523,1.986000673442844
0,C25-1524,1.7695163100851274
0,C25-1525,1.242153437084899
0,C25-1517,1.5957825444870266
0,C25-1518,1.6956795807100813
0,C25-1519,1.9616049361221384
0,C25-1520,1.078626402898338
0,C25-1512,1.4956196336694956
0,C25-1513,1.8578783732771982
0,C25-1514,1.2872117801909428
0,C25-1515,1.5934288236112193
0,C25-1516,1.31589997677712
0,C25-1508,1.6956795807100813
0,C25-1510,1.9533665652762207
0,C25-1511,2.2047293833005996
0,C25-1502,2.320471712773466
0,C25-1503,1.218433221237592
0,C25-1504,1.6956795807100813
0,C25-1505,1.904344533981497
0,C25-1506,1.242153437084899
0,C25-1507,1.7260629680498742
0,C25-1500,1.5957825444870266
0,C25-1501,2.1547896461132234
0,C25-1494,1.5728197279570635
0,C25-1495,1.2872117801909428
0,C25-1496,1.3206679739559155
0,C25-1497,1.6956795807100813
0,C25-1498,1.223700609155401
0,C25-1499,1.7557081290887258
0,C25-1489,1.9095630301207678
0,C25-1490,1.803509921646116
0,C25-1491,1.803509921646116
0,C25-1492,1.882858087129671
0,C25-1493,1.7618193311749608
0,C25-1487,1.297598835674305
0,C25-1488,1.2413125318061893
0,C25-1479,1.3037747991326836
0,C25-1480,1.9476561536390669
0,C25-1481,1.4220893333792282
0,C25-1482,1.2312079707874737
0,C25-1483,1.6794346585515014
0,C25-1484,1.8077950494575985
0,C25-1485,2.1547896461132234
